                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    134,                 1.3398,                0.70371,                 1.2786,                0.84299,                0.82838,                0.88516,                0.53306,                 1.3679,                0.66145,                 1.2842,               0.005644,               0.005644,               0.005644
                    135,                 1.3536,                0.70904,                 1.2855,                0.84136,                0.83287,                0.88566,                0.53348,                 1.3677,                0.66145,                  1.284,               0.005611,               0.005611,               0.005611
                    136,                 1.3473,                0.70684,                 1.2858,                0.84146,                0.83287,                 0.8858,                 0.5342,                 1.3671,                0.66131,                 1.2838,               0.005578,               0.005578,               0.005578
                    137,                   1.34,                 0.7082,                 1.2813,                0.84075,                0.83184,                0.88537,                0.53446,                 1.3666,                0.66135,                 1.2835,               0.005545,               0.005545,               0.005545
                    138,                 1.3389,                0.70155,                 1.2816,                0.84013,                 0.8329,                0.88581,                0.53417,                 1.3665,                0.66067,                 1.2834,               0.005512,               0.005512,               0.005512
                    139,                 1.3385,                0.69955,                 1.2801,                0.84131,                0.83287,                0.88583,                0.53414,                 1.3665,                0.66012,                 1.2836,               0.005479,               0.005479,               0.005479
                    140,                 1.3489,                0.70819,                 1.2788,                0.84237,                 0.8308,                0.88551,                0.53422,                  1.366,                0.66001,                 1.2829,               0.005446,               0.005446,               0.005446
                    141,                   1.34,                0.69795,                 1.2731,                0.85178,                0.81956,                0.88555,                0.53449,                  1.366,                0.65988,                 1.2826,               0.005413,               0.005413,               0.005413
                    142,                 1.3377,                0.69851,                 1.2778,                0.84728,                0.82568,                0.88559,                 0.5344,                 1.3661,                0.65952,                 1.2825,                0.00538,                0.00538,                0.00538
                    143,                 1.3363,                0.70573,                 1.2785,                0.84329,                0.82875,                0.88583,                0.53453,                  1.366,                0.65942,                 1.2825,               0.005347,               0.005347,               0.005347
                    144,                 1.3362,                0.69951,                 1.2789,                  0.845,                0.82828,                0.88617,                0.53442,                 1.3656,                0.65901,                 1.2823,               0.005314,               0.005314,               0.005314
                    145,                 1.3426,                0.70264,                   1.28,                 0.8494,                0.82217,                0.88619,                0.53435,                 1.3653,                0.65855,                  1.282,               0.005281,               0.005281,               0.005281
                    146,                 1.3289,                0.69565,                 1.2753,                0.84642,                0.82781,                0.88602,                0.53455,                 1.3654,                0.65829,                 1.2822,               0.005248,               0.005248,               0.005248
                    147,                 1.3406,                0.70277,                 1.2771,                0.85044,                 0.8232,                0.88571,                0.53496,                  1.365,                 0.6583,                 1.2821,               0.005215,               0.005215,               0.005215
                    148,                 1.3265,                0.69445,                 1.2727,                0.85054,                0.82459,                0.88597,                0.53495,                 1.3645,                 0.6582,                 1.2819,               0.005182,               0.005182,               0.005182
                    149,                  1.332,                0.69651,                 1.2704,                0.85079,                0.82631,                0.88673,                0.53516,                 1.3642,                0.65805,                 1.2816,               0.005149,               0.005149,               0.005149
                    150,                 1.3255,                0.69124,                 1.2719,                0.85166,                0.82597,                 0.8862,                0.53528,                  1.364,                0.65768,                 1.2815,               0.005116,               0.005116,               0.005116
                    151,                 1.3262,                 0.6916,                 1.2648,                 0.8523,                0.82528,                0.88596,                0.53538,                 1.3637,                0.65779,                 1.2811,               0.005083,               0.005083,               0.005083
                    152,                 1.3271,                0.69149,                 1.2661,                0.85301,                0.82528,                0.88617,                0.53538,                 1.3634,                0.65763,                  1.281,                0.00505,                0.00505,                0.00505
                    153,                 1.3237,                0.69577,                 1.2681,                0.85386,                0.82514,                0.88608,                0.53572,                 1.3632,                0.65747,                 1.2806,               0.005017,               0.005017,               0.005017
                    154,                 1.3193,                0.68722,                 1.2617,                0.85452,                0.82344,                0.88597,                0.53579,                 1.3632,                0.65735,                 1.2809,               0.004984,               0.004984,               0.004984
                    155,                 1.3234,                0.68784,                 1.2631,                0.85616,                 0.8221,                0.88633,                0.53606,                 1.3629,                0.65724,                 1.2808,               0.004951,               0.004951,               0.004951
                    156,                 1.3181,                0.68695,                 1.2612,                0.85708,                0.82113,                0.88669,                 0.5361,                 1.3623,                0.65701,                 1.2804,               0.004918,               0.004918,               0.004918
